HS_Chapter,exporter_name,telephone
01,HAMDAN TRADERS,
01,M/S MUGHAL TRADERS,03332182893
01,AZAN INTERNATIONAL,02135215616
01,SAHIR ENTERPRISES,0924382958
01,ALI ENTERPRISES,0912212790
01,M/S TRADE TOWERS,0214529696
01,ZEESHAN TRADING COMPANY,0924240246
01,IQBAL ENTERPRISES,
01,SHAHZAD ENTERPRISES EXP & IMP,0912263834
01,AHMAD TRADING,
01,SHINWARI INTERNATIONAL IMPEX (PRIVATE) LIMITED,0915711341
01,ASSABEQOON,
01,SHAHID ENTERPRISES,0924-308478
